year,show,ethnicity,actors,theater,type,non-profit
2009-2010,Bye Bye Birdie,Caucasian,34,,Musical,
2009-2010,Bye Bye Birdie,Latino,0,,Musical,
2009-2010,Bye Bye Birdie,Other,0,,Musical,
2009-2010,Collected Stories,African American,0,,Play,
2009-2010,Collected Stories,Asian American,0,,Play,
2009-2010,Collected Stories,Caucasian,4,,Play,
2009-2010,Collected Stories,Latino,0,,Play,
2009-2010,Collected Stories,Other,0,,Play,
2009-2010,Enron,African American,3,,Play,
2009-2010,Enron,Asian American,0,,Play,
2009-2010,Enron,Caucasian,16,,Play,
2009-2010,Enron,Latino,0,,Play,
2009-2010,Enron,Other,0,,Play,
2009-2010,Everyday Rapture,African American,0,,Musical,
2009-2010,Everyday Rapture,Asian American,0,,Musical,
2009-2010,Everyday Rapture,Caucasian,5,,Musical,
2009-2010,Everyday Rapture,Latino,1,,Musical,
2009-2010,Everyday Rapture,Other,0,,Musical,
2009-2010,Fences,African American,12,,Play,
2009-2010,Fences,Asian American,0,,Play,
2009-2010,Fences,Caucasian,0,,Play,
2009-2010,Fences,Latino,0,,Play,
2009-2010,Fences,Other,0,,Play,
2009-2010,Finian's Rainbow,African American,15,,Musical,
2009-2010,Finian's Rainbow,Asian American,0,,Musical,
2009-2010,Finian's Rainbow,Caucasian,19,,Musical,
2009-2010,Finian's Rainbow,Latino,0,,Musical,
2009-2010,Finian's Rainbow,Other,1,,Musical,
2009-2010,Hamlet,African American,2,,Play,
2009-2010,Hamlet,Asian American,0,,Play,
2009-2010,Hamlet,Caucasian,18,,Play,
2009-2010,Hamlet,Latino,0,,Play,
2009-2010,Hamlet,Other,0,,Play,
2009-2010,In the Next Room,African American,2,,Play,
2009-2010,In the Next Room,Asian American,0,,Play,
2009-2010,In the Next Room,Caucasian,10,,Play,
2009-2010,In the Next Room,Latino,0,,Play,
2009-2010,In the Next Room,Other,0,,Play,
2009-2010,La Cage Aux Folles,African American,2,,Musical,
2009-2010,La Cage Aux Folles,Asian American,0,,Musical,
2009-2010,La Cage Aux Folles,Caucasian,19,,Musical,
2009-2010,La Cage Aux Folles,Latino,2,,Musical,
2009-2010,La Cage Aux Folles,Other,0,,Musical,
2009-2010,Lend Me a Tenor,African American,0,,Play,
2009-2010,Lend Me a Tenor,Asian American,0,,Play,
2009-2010,Lend Me a Tenor,Caucasian,12,,Play,
2009-2010,Lend Me a Tenor,Latino,0,,Play,
2009-2010,Lend Me a Tenor,Other,0,,Play,
2009-2010,Looped,African American,0,,Play,
2009-2010,Looped,Asian American,0,,Play,
2009-2010,Looped,Caucasian,5,,Play,
2009-2010,Looped,Latino,0,,Play,
2009-2010,Looped,Other,0,,Play,
2009-2010,Memphis,African American,17,,Musical,
2009-2010,Memphis,Asian American,0,,Musical,
2009-2010,Memphis,Caucasian,13,,Musical,
2009-2010,Memphis,Latino,0,,Musical,
2009-2010,Memphis,Other,0,,Musical,
2009-2010,Million Dollar Quartet,African American,0,,Musical,
2009-2010,Million Dollar Quartet,Asian American,0,,Musical,
2009-2010,Million Dollar Quartet,Caucasian,13,,Musical,
2009-2010,Million Dollar Quartet,Latino,0,,Musical,
2009-2010,Million Dollar Quartet,Other,0,,Musical,
2009-2010,Next Fall,African American,0,,Play,
2009-2010,Next Fall,Asian American,0,,Play,
2009-2010,Next Fall,Caucasian,9,,Play,
2009-2010,Next Fall,Latino,0,,Play,
2009-2010,Next Fall,Other,0,,Play,
2009-2010,Oleanna,African American,0,,Play,
2009-2010,Oleanna,Asian American,0,,Play,
2009-2010,Oleanna,Caucasian,4,,Play,
2009-2010,Oleanna,Latino,0,,Play,
2009-2010,Oleanna,Other,0,,Play,
2009-2010,Present Laughter,African American,0,,Play,
2009-2010,Present Laughter,Asian American,0,,Play,
2009-2010,Present Laughter,Caucasian,15,,Play,
2009-2010,Present Laughter,Latino,0,,Play,
2009-2010,Present Laughter,Other,0,,Play,
2009-2010,"Promises, Promises",African American,1,,Musical,
2009-2010,"Promises, Promises",Asian American,1,,Musical,
2009-2010,"Promises, Promises",Caucasian,25,,Musical,
2009-2010,"Promises, Promises",Latino,0,,Musical,
2009-2010,"Promises, Promises",Other,0,,Musical,
2009-2010,Race,African American,4,,Play,
2009-2010,Race,Asian American,0,,Play,
2009-2010,Race,Caucasian,3,,Play,
2009-2010,Race,Latino,0,,Play,
2009-2010,Race,Other,0,,Play,
2009-2010,Ragtime,African American,16,,Musical,
2009-2010,Ragtime,Asian American,0,,Musical,
2009-2010,Ragtime,Caucasian,24,,Musical,
2009-2010,Ragtime,Latino,0,,Musical,
2009-2010,Ragtime,Other,0,,Musical,
2009-2010,Red,African American,0,,Play,
2009-2010,Red,Asian American,0,,Play,
2009-2010,Red,Caucasian,4,,Play,
2009-2010,Red,Latino,0,,Play,
2009-2010,Red,Other,0,,Play,
2009-2010,Sondheim on Sondheim,African American,3,,Musical,
2009-2010,Sondheim on Sondheim,Asian American,0,,Musical,
2009-2010,Sondheim on Sondheim,Caucasian,9,,Musical,
2009-2010,Sondheim on Sondheim,Latino,0,,Musical,
2009-2010,Sondheim on Sondheim,Other,0,,Musical,
2009-2010,Superior Donuts,African American,3,,Play,
2009-2010,Superior Donuts,Asian American,0,,Play,
2009-2010,Superior Donuts,Caucasian,11,,Play,
2009-2010,Superior Donuts,Latino,0,,Play,
2009-2010,Superior Donuts,Other,0,,Play,
2009-2010,The Miracle Worker,African American,5,,Play,
2009-2010,The Miracle Worker,Asian American,0,,Play,
2009-2010,The Miracle Worker,Caucasian,12,,Play,
2009-2010,The Miracle Worker,Latino,0,,Play,
2009-2010,The Miracle Worker,Other,0,,Play,
2009-2010,The Neil Simon Plays,African American,0,,Play,
2009-2010,The Neil Simon Plays,Asian American,0,,Play,
2009-2010,The Neil Simon Plays,Caucasian,16,,Play,
2009-2010,The Neil Simon Plays,Latino,0,,Play,
2009-2010,The Neil Simon Plays,Other,0,,Play,
2009-2010,The Royal Family,African American,1,,Play,
2009-2010,The Royal Family,Asian American,0,,Play,
2009-2010,The Royal Family,Caucasian,17,,Play,
2009-2010,The Royal Family,Latino,0,,Play,
2009-2010,The Royal Family,Other,0,,Play,
2009-2010,Time Stands Still,African American,0,,Play,
2009-2010,Time Stands Still,Asian American,0,,Play,
2009-2010,Time Stands Still,Caucasian,6,,Play,
2009-2010,Time Stands Still,Latino,0,,Play,
2009-2010,Time Stands Still,Other,0,,Play,
2009-2010,White Christmas,African American,2,,Musical,
2009-2010,White Christmas,Asian American,0,,Musical,
2009-2010,White Christmas,Caucasian,30,,Musical,
2009-2010,White Christmas,Latino,0,,Musical,
2009-2010,White Christmas,Other,1,,Musical,
2009-2010,Wishful Drinking,African American,0,,Play,
2009-2010,Wishful Drinking,Asian American,0,,Play,
2009-2010,Wishful Drinking,Caucasian,1,,Play,
2009-2010,Wishful Drinking,Latino,0,,Play,
2009-2010,Wishful Drinking,Other,0,,Play,
2010-2011,A Free Man of Color,African American,0,,Play,
2010-2011,A Free Man of Color,Asian American,0,,Play,
2010-2011,A Free Man of Color,Caucasian,15,,Play,
2010-2011,A Free Man of Color,Latino,0,,Play,
2010-2011,A Free Man of Color,Other,0,,Play,
2010-2011,A Life in the Theatre,African American,0,,Play,
2010-2011,A Life in the Theatre,Asian American,0,,Play,
2010-2011,A Life in the Theatre,Caucasian,0,,Play,
2010-2011,A Life in the Theatre,Latino,0,,Play,
2010-2011,A Life in the Theatre,Other,0,,Play,
2010-2011,Anything Goes,African American,3,,Musical,
2010-2011,Anything Goes,Asian American,3,,Musical,
2010-2011,Anything Goes,Caucasian,24,,Musical,
2010-2011,Anything Goes,Latino,0,,Musical,
2010-2011,Anything Goes,Other,0,,Musical,
2010-2011,Arcadia,African American,0,,Play,
2010-2011,Arcadia,Asian American,1,,Play,
2010-2011,Arcadia,Caucasian,16,,Play,
2010-2011,Arcadia,Latino,0,,Play,
2010-2011,Arcadia,Other,0,,Play,
2010-2011,Baby It's You,African American,11,,Musical,
2010-2011,Baby It's You,Asian American,0,,Musical,
2010-2011,Baby It's You,Caucasian,8,,Musical,
2010-2011,Baby It's You,Latino,0,,Musical,
2010-2011,Baby It's You,Other,0,,Musical,
2010-2011,Bengal Tiger,African American,1,,Play,
2010-2011,Bengal Tiger,Asian American,0,,Play,
2010-2011,Bengal Tiger,Caucasian,4,,Play,
2010-2011,Bengal Tiger,Latino,0,,Play,
2010-2011,Bengal Tiger,Other,6,,Play,
2010-2011,Bloody Bloody Andrew Jackson,African American,0,,Musical,
2010-2011,Bloody Bloody Andrew Jackson,Asian American,0,,Musical,
2010-2011,Bloody Bloody Andrew Jackson,Caucasian,20,,Musical,
2010-2011,Bloody Bloody Andrew Jackson,Latino,3,,Musical,
2010-2011,Bloody Bloody Andrew Jackson,Other,0,,Musical,
2010-2011,Born Yesterday,African American,0,,Play,
2010-2011,Born Yesterday,Asian American,0,,Play,
2010-2011,Born Yesterday,Caucasian,14,,Play,
2010-2011,Born Yesterday,Latino,0,,Play,
2010-2011,Born Yesterday,Other,0,,Play,
2010-2011,Brief Encounter,African American,0,,Play,
2010-2011,Brief Encounter,Asian American,0,,Play,
2010-2011,Brief Encounter,Caucasian,9,,Play,
2010-2011,Brief Encounter,Latino,0,,Play,
2010-2011,Brief Encounter,Other,0,,Play,
2010-2011,Catch Me If You Can,African American,6,,Musical,
2010-2011,Catch Me If You Can,Asian American,0,,Musical,
2010-2011,Catch Me If You Can,Caucasian,24,,Musical,
2010-2011,Catch Me If You Can,Latino,1,,Musical,
2010-2011,Catch Me If You Can,Other,0,,Musical,
2010-2011,Colin Quinn Long Story Short,African American,0,,Play,
2010-2011,Colin Quinn Long Story Short,Asian American,0,,Play,
2010-2011,Colin Quinn Long Story Short,Caucasian,1,,Play,
2010-2011,Colin Quinn Long Story Short,Latino,0,,Play,
2010-2011,Colin Quinn Long Story Short,Other,0,,Play,
2010-2011,Driving Miss Daisy,African American,2,,Play,
2010-2011,Driving Miss Daisy,Asian American,0,,Play,
2010-2011,Driving Miss Daisy,Caucasian,4,,Play,
2010-2011,Driving Miss Daisy,Latino,0,,Play,
2010-2011,Driving Miss Daisy,Other,0,,Play,
2010-2011,Elf,African American,0,,Musical,
2010-2011,Elf,Asian American,0,,Musical,
2010-2011,Elf,Caucasian,22,,Musical,
2010-2011,Elf,Latino,0,,Musical,
2010-2011,Elf,Other,0,,Musical,
2010-2011,Elling,African American,0,,Play,
2010-2011,Elling,Asian American,0,,Play,
2010-2011,Elling,Caucasian,8,,Play,
2010-2011,Elling,Latino,0,,Play,
2010-2011,Elling,Other,0,,Play,
2010-2011,Ghetto Klown,African American,0,,Play,
2010-2011,Ghetto Klown,Asian American,0,,Play,
2010-2011,Ghetto Klown,Caucasian,0,,Play,
2010-2011,Ghetto Klown,Latino,1,,Play,
2010-2011,Ghetto Klown,Other,0,,Play,
2010-2011,Good People,African American,2,,Play,
2010-2011,Good People,Asian American,0,,Play,
2010-2011,Good People,Caucasian,8,,Play,
2010-2011,Good People,Latino,0,,Play,
2010-2011,Good People,Other,0,,Play,
2010-2011,High,African American,0,,Musical,
2010-2011,High,Asian American,0,,Musical,
2010-2011,High,Caucasian,6,,Musical,
2010-2011,High,Latino,0,,Musical,
2010-2011,High,Other,0,,Musical,
2010-2011,How to Succeed,African American,2,,Musical,
2010-2011,How to Succeed,Asian American,0,,Musical,
2010-2011,How to Succeed,Caucasian,27,,Musical,
2010-2011,How to Succeed,Latino,0,,Musical,
2010-2011,How to Succeed,Other,0,,Musical,
2010-2011,Jerusalem,African American,0,,Play,
2010-2011,Jerusalem,Asian American,0,,Play,
2010-2011,Jerusalem,Caucasian,20,,Play,
2010-2011,Jerusalem,Latino,0,,Play,
2010-2011,Jerusalem,Other,0,,Play,
2010-2011,La Bete,African American,0,,Play,
2010-2011,La Bete,Asian American,1,,Play,
2010-2011,La Bete,Caucasian,11,,Play,
2010-2011,La Bete,Latino,0,,Play,
2010-2011,La Bete,Other,0,,Play,
2010-2011,Lombardi,African American,2,,Play,
2010-2011,Lombardi,Asian American,0,,Play,
2010-2011,Lombardi,Caucasian,8,,Play,
2010-2011,Lombardi,Latino,0,,Play,
2010-2011,Lombardi,Other,0,,Play,
2010-2011,Mrs. Warren's Profession,African American,0,,Play,
2010-2011,Mrs. Warren's Profession,Asian American,0,,Play,
2010-2011,Mrs. Warren's Profession,Caucasian,10,,Play,
2010-2011,Mrs. Warren's Profession,Latino,0,,Play,
2010-2011,Mrs. Warren's Profession,Other,0,,Play,
2010-2011,Priscilla Queen of the Desert,African American,6,,Musical,
2010-2011,Priscilla Queen of the Desert,Asian American,2,,Musical,
2010-2011,Priscilla Queen of the Desert,Caucasian,19,,Musical,
2010-2011,Priscilla Queen of the Desert,Latino,0,,Musical,
2010-2011,Priscilla Queen of the Desert,Other,0,,Musical,
2010-2011,Rain,African American,0,,Musical,
2010-2011,Rain,Asian American,0,,Musical,
2010-2011,Rain,Caucasian,4,,Musical,
