time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T04:04:58.187Z,62.4786,-151.2317,81.9,1.8,ml,,,,0.47,ak,ak16864341,2017-09-20T04:08:36.493Z,"60km WNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T04:02:23.010Z,33.6725,-116.7606667,15.37,0.32,ml,24,69,0.05468,0.15,ci,ci38006776,2017-09-20T14:12:37.532Z,"8km SSW of Idyllwild, CA",earthquake,0.31,0.52,0.115,8,reviewed,ci,ci
2017-09-20T03:57:11.990Z,35.9336667,-117.6511667,3.58,0.68,ml,14,61,0.01422,0.09,ci,ci38006768,2017-09-20T14:08:20.492Z,"23km E of Little Lake, CA",earthquake,0.16,0.27,0.129,4,reviewed,ci,ci
2017-09-20T03:33:49.730Z,36.0721667,-118.3253333,10.73,1.12,ml,13,98,0.3583,0.12,ci,ci38006744,2017-09-20T03:37:14.498Z,"34km W of Coso Junction, CA",earthquake,0.31,1.28,0.12,13,automatic,ci,ci
2017-09-20T03:32:25.795Z,60.0691,-147.1466,8.1,2.4,ml,,,,0.56,ak,ak16863731,2017-09-20T03:36:50.922Z,"84km NNW of Middleton Island, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T03:31:16.060Z,36.0636667,-118.3305,8.62,1.93,ml,21,96,0.3611,0.11,ci,ci38006736,2017-09-20T11:33:45.280Z,"34km W of Coso Junction, CA",earthquake,0.24,2.55,0.204,26,automatic,ci,ci
2017-09-20T03:28:51.042Z,60.6899,-147.3575,13.4,1.3,ml,,,,0.61,ak,ak16863728,2017-09-20T03:33:29.915Z,"72km E of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T03:28:05.370Z,16.1444,-94.8719,48.73,4.6,mb,,161,3.347,0.93,us,us2000argd,2017-09-20T04:02:20.269Z,"15km ESE of San Mateo del Mar, Mexico",earthquake,9.2,9.6,0.043,163,reviewed,us,us
2017-09-20T03:24:52.930Z,36.776165,-121.2863312,10.54,1.98,md,31,89,0.1298,0.06,nc,nc72895536,2017-09-20T06:31:10.215Z,"8km ESE of Ridgemark, California",earthquake,0.24,0.72,0.17,28,automatic,nc,nc
2017-09-20T03:17:19.420Z,33.713,-116.752,15.96,1.07,ml,43,28,0.03159,0.19,ci,ci38006720,2017-09-20T13:51:45.380Z,"4km SW of Idyllwild, CA",earthquake,0.27,0.45,0.254,27,reviewed,ci,ci
2017-09-20T02:52:29.770Z,33.9618333,-116.7503333,15.8,1.07,ml,31,73,0.08733,0.18,ci,ci38006712,2017-09-20T13:50:30.080Z,"6km NE of Cabazon, CA",earthquake,0.27,0.66,0.139,27,reviewed,ci,ci
2017-09-20T02:45:30.090Z,33.6338333,-116.6835,13.1,0.83,ml,18,97,0.06052,0.09,ci,ci38006704,2017-09-20T13:50:27.191Z,"9km N of Anza, CA",earthquake,0.25,0.39,0.087,17,reviewed,ci,ci
2017-09-20T02:42:10.110Z,-41.5093,174.3572,24.36,5,mb,,45,0.262,1.01,us,us2000arfw,2017-09-20T09:58:46.347Z,"33km E of Blenheim, New Zealand",earthquake,3.1,5,0.129,19,reviewed,us,us
2017-09-20T02:37:35.380Z,14.5296,-90.9069,177.24,4.9,mb,,174,0.972,1.2,us,us2000arfs,2017-09-20T06:46:29.683Z,"4km ESE of Acatenango, Guatemala",earthquake,8.7,6.1,0.041,190,reviewed,us,us
2017-09-20T02:28:09.990Z,33.5098333,-116.7895,6.23,0.71,ml,27,41,0.07051,0.12,ci,ci38006696,2017-09-20T13:51:53.240Z,"10km NE of Aguanga, CA",earthquake,0.15,0.56,0.16,23,reviewed,ci,ci
2017-09-20T02:18:39.890Z,18.9298,-66.3401,12,2.75,md,6,266,0.6717,0.18,pr,pr2017263000,2017-09-20T03:21:36.782Z,"51km N of Brenas, Puerto Rico",earthquake,4.58,6.05,0.24,4,reviewed,pr,pr
2017-09-20T02:15:54.770Z,38.8383331,-122.7819977,1.5,0.78,md,11,80,0.006107,0.02,nc,nc72895521,2017-09-20T03:05:03.610Z,"5km WNW of Cobb, California",earthquake,0.31,0.54,0.08,3,automatic,nc,nc
2017-09-20T02:12:39.881Z,59.1681,-152.1298,52.1,1.8,ml,,,,0.52,ak,ak16863060,2017-09-20T02:19:58.767Z,"62km SSW of Homer, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-09-20T02:10:02.440Z,35.9646683,-120.5240021,7.53,1.78,md,23,82,0.02362,0.05,nc,nc72895516,2017-09-20T02:24:03.495Z,"24km SW of Coalinga, California",earthquake,0.31,0.32,0.25,11,automatic,nc,nc
